"61.03 Análisis Matemático II A                   8         128      CBC"
"62.01 Física I A                                 8         128      CBC"
"75.40 Algoritmos y Programación I                6         96       CBC"
"61.08 Álgebra II A                               8         128      CBC"
"62.03 Física II A                                8         128      61.03-62.01"
"75.41 Algoritmos y Programación II               6         96       75.40"
"61.09 Probabilidad y Estadística B               6         96       61.03-61.08"
"66.70 Estructura del Computador                  6         96       62.03-75.41"
"75.07 Algoritmos y Programación III              6         96       75.41"
"75.12 Análisis Numérico I                        6         96       61.03-61.08-75.41"
"75.08 Sistemas Operativos                        6         96       66.70"
"75.06 Organización de Datos                      6         96       61.08-75.41"
"75.42 Taller de Programación I                   4         64       66.70-75.41"
"71.14 Modelos y Optimización I                   6         96       62.03 -61.08-75.41"
"75.52 Taller de Programación II                  4         64       75.07-75.42"
"75.09 Análisis de la Información                 6         96       75.07"
"75.10 Técnicas de Diseño                         6         96       75.08-75.09"
"75.15 Base de Datos                              6         96       75.06-75.09"
"75.43 Introducción a los Sistemas                6         96       75.08"
"75.44 Administración y Control de Proyectos Informáticos I             6     96           75.10"
"75.45 Taller de Desarrollo de Proyectos I                              6     96           75.10"
"75.46 Administración y Control de Proyectos Informáticos II            6     96           75.44"
"75.47 Taller de Desarrollo de Proyectos II                             6     96           75.44-75.45"
"71.40 Legislación y Ejercicio Profesional de la Ingeniería en Informática      4        64            140 créditos aprobados"
"75.00 Tesis                                                        12       192           140 créditos aprobados"
"75.99 Trabajo Profesional                                          6        96             140 créditos aprobados"
"75.59 Técnicas de Programación Concurrente I                        6       96          75.08"
"75.74 Sistemas Distribuidos I                                       6       96          75.43-75.59"
"75.61 Taller de Programación III                                    6       96          75.74"
"75.65    Manufactura Integrada por Computadora (CIM) I            6       96       75.15-75.52"
"75.67    Sistemas Automáticos de Diagnóstico y Detección de Fallas I       6       96       71.14"
"75.66    Manufactura Integrada por Computadora (CIM) II           6       96       75.65"
"75.68    Sistemas de Soporte para Celdas de Producción Flexibles            4       64       75.65-75.67"
"61.07   Matemática Discreta                                    6      CBC  E"
"61.10   Análisis Matemático III A                              6      61.03-61.08    E"
"61.18   Ecuaciones Diferenciales Ordinarias                    6      61.03-61.08    E"
"61.19   Análisis Funcional                                     6      61.10    E"
"62.11   Mecánica Racional                                      4      61.10-62.01    E"
"62.15   Física III D                                           4      61.08-62.03    E"
"63.01   Química                                                6      CBC  E"
"64.05   Estática y Resistencia de Materiales B                 6      61.03-61.08    E"
"66.06   Análisis de Circuitos                                 10      61.10-62.03    E"
"66.08   Circuitos Electrónicos I                               8      62.15-66.02-66.06"
"66.09   Laboratorio de Microcomputadoras                      6       66.02-66.70  E"
"66.02   Laboratorio                                           6       62.03    E"
"66.17   Sistemas Digitales                                    6       66.70    E"
"66.18   Teoría de Control I                                   6       66.74    E"
"66.19   Circuitos de Pulsos                                   6       66.08-66.70  E"
"66.20   Organización de Computadoras                          6       66.70    E"
"66.24   Teoría de la Información y Codificación               4       66.74-66.75-66.7 E"
"66.26   Arquitecturas Paralelas                               6       66.20    E"
"66.32   Robótica                                              6       62.11-66.18  E"
"66.35   Técnica Digital Avanzada                              6       61.07-66.17    E"
"66.46   Procesamiento del Habla                               6       66.74    E"
"66.47   Procesamiento de Imágenes                             6       61.09-66.74  E"
"66.49   Sistemas Biológicos                                   6       66.74-63.01  E"
"66.55   Simulación de Sistemas de Control                     4       66.18    E"
"66.63   Redes Neuronales                                      6       66.74-66.75  E"
"66.69   Criptografía y Seguridad Informática                  6       75.43"
"66.71   Sistemas Gráficos                                     6       75.41-61.03-61.08    E"
"66.74   Señales y Sistemas                                    6       61.09-66.06    E"
"66.75   Procesos Estocásticos                                 6       61.03-61.09  E"
"67.61   Fundamentos Matemáticos de la Visión en Robótica      6       61.08-75.07    E"
"71.12   Estructura de las Organizaciones                      6       60 créditos aprobados    E"
"71.13   Información en las Organizaciones                     6       71.12    E"
"71.15   Modelos y Optimización II                             6       61.09-71.14  E"
"71.18   Estructura Económica Argentina                        4       CBC  E"
"71.20   Modelos y Optimización III                            6       71.15    E"
"71.41   Análisis y Resolución de Problemas                    6       71.15    E"
"71.42   Circuitos de Información en la Empresa                4       71.46    E"
"71.44   Recursos Humanos                                      4       144 créditos aprobados   E"
"71.46   Ingeniería Económica                                  6       140 créditos aprobados  E"
"72.01   Materiales Industriales I                             6       63.01-64.05  E"
"75.14   Lenguajes Formales                                    6       61.09    E"
"75.16   Lenguajes de Programación                             6       75.14    E"
"75.26   Simulación                                            6       61.09    E"
"75.29   Teoría de Algoritmos I                                6       75.41    E"
"75.30   Teoría de Algoritmos II                               6       75.29    E"
"75.31   Teoría de Lenguaje                                    4       75.41    E"
"75.38   Análisis Numérico II A                                6       75.52    E"
"75.48   Calidad en Desarrollo de Sistemas                     4       75.45    E"
"75.50   Introducción a los Sistemas Inteligentes              6       61.09-71.14  E"
"75.51   Técnicas de Producción de Software I                  4       75.15-75.52  E"
