codigo;nombre;creditos;carrera;correlativas
81.01;Análisis Matemático II A;8;2;NULL
82.01;Física I A;8;2;NULL
95.11;Algoritmos y Programación I;6;2;NULL
81.02;Álgebra II A;8;2;NULL
82.02;Física II A;8;2;61.03-62.01
86.02;Introducción a la Ingeniería Electrónica;6;2;782.01
86.70;Introducción al Diseño Asistido por Computadora para Electrónica;6;2;82.01
81.05;Análisis Matemático III A;6;2;81.01-81.02
81.04;Probabilidad y Estadística B;6;2;81.01-81.02
86.01;Técnica Digital;6;2;86.02
83.01;Química;6;2;NULL
82.06;Electromagnetismo;6;2;82.02-81.05
86.03;Dispositivos Semiconductores;6;2;82.02-86.02
86.04;Análisis de Circuitos;6;2;86.02-81.05-82.02
95.04;Análisis Numérico I;6;2;81.01-81.02-95.11
82.03;Física III;6;2;82.02
86.05;señales y Sistemas;6;2;86.04-81.04
86.06;Circuitos Electrónicos;6;2;86.03 86.04
91.19;Introducción a la Economía y Organización de la Empresa;6;2;48 créditos aprobados
86.08;Control Automático I;6;2;86.05
86.09;Procesos Estocásticos;6;2;86.05-81.04
86.07;Laboratorio de Microprocesadores;6;2;86.01-86.03-86.04-95.11
86.12;Comunicación de Datos;6;2;86.05
86.10;Diseño de Circuitos Electrónicos;6;2;86.06-86.07-86.70
86.69;Instrumentos y Mediciones Electrónicas;6;2;82.06-86.06-86.07
86.14;Introducción a Proyectos;6;2;86.10
91.11;Legislación y Ejercicio Profesional de la Ingeniería Electrónica;4;2;90 créditos aprobados
97.04;Seguridad Ambiental y del Trabajo;4;2;90 créditos aprobados
86.00;Tesis de Ingeniería Electrónica;8;2;NULL
86.99;Trabajo Profesional de Ingeniería Electrónica;8;2;NULL
81.07;Análisis Funcional;6;2;81.05
81.08;Análisis Matricial y Métodos Numéricos;6;2;81.05-95.04
82.04;Mecánica Racional;4;2;81.05-82.01
82.05;Física del Estado Sólido;6;2;82.03
85.36;Máquinas Eléctricas;6;2;86.04
85.37;Laboratorio de Instalaciones Eléctricas;4;2;86.06
86.11;Teoría de la Información Codificación;6;2;86.09
86.15;Robótica;6;2;82.04-86.08
86.16;Control Automático II;6;2;86.08
86.17;Control Automático III;6;2;86.16
86.18;Control Industrial Distribuido;6;2;86.08
86.19;Control Robusto;6;2;86.16
86.20;Identificación y Control Adaptativo;6;2;86.08
86.21;Instrumentación y Control de Procesos;6;2;86.08
86.22;Laboratorio de Control Automático;6;2;86.08-86.10
86.23;Accionamientos Variables;6;2;86.08-86.10
86.24;Electrónica de Potencia;6;2;86.10
86.25;Comunicaciones Digitales I;6;2;86.09
86.26;Comunicaciones Digitales II;6;2;86.12-86.25
86.27;Infraestructura de Redes Fijas;6;2;86.12
86.28;Laboratorio de Comunicaciones;6;2;86.12
86.29;Propagación y Sistemas Irradiantes;6;2;82.06
86.30;Comunicaciones Digitales III;6;2;86.26
86.31;Servicios y Redes de Comunicaciones;6;2;86.12
86.32;Sistemas Inalámbricos;6;2;86.12-86.29
86.34;Transmisores y Receptores de Comunicaciones;6;2;86.10
86.35;Video Digital;6;2;86.09
86.36;Criptografía y Seguridad Informática;6;2;86.05-86.07
86.37;Organización de Computadoras;6;2;86.07
86.38;Arquitecturas Paralelas;6;2;86.37
86.39;Redes de Computadoras;6;2;86.12
86.40;Laboratorio de Redes de Computadoras;6;2;86.39
86.41;Sistemas Digitales;6;2;81.05-86.01-95.11
86.42;Laboratorio de Sistemas Digitales;6;2;86.41
86.43;Sistemas Gráficos;6;2;95.12
86.44;Técnica Digital Avanzada;6;2;86.01-86.03
86.45;Industrias y Productos de Electrónica;6;2;86.10
86.46;Microelectrónica;6;2;86.06
86.47;Optoelectrónica;6;2;82.03-82.06
86.48;Seminario de Electrónica;4;2;86.10
86.49;Seminario de Electrónica II;4;2;86.10
86.50;Tecnología de los Componentes;6;2;86.10
86.51;Procesamiento de Señales I;6;2;86.09
86.52;Procesamiento de Señales II;6;2;86.51
86.53;Procesamiento del Habla;6;2;86.05
86.54;Redes Neuronales;6;2;86.09
86.55;Teoría de Detección y Estimación;6;2;86.09
86.56;Procesamiento de Imágenes;6;2;86.51-86.55
86.57;Acústica;6;2;86.04
86.58;Electroacústica;6;2;86.06
86.59;Audio Profesional;6;2;86.10
86.61;Ingeniería Biomédica;6;2;86.08-86.60
86.62;Equipamiento para Diagnóstico y Tratamiento Biomédico;6;2;86.60
86.63;Procesamiento y Análisis de Señales e Imágenes En Bioingeniería;6;2;86.60
86.64;Compatibilidad Electromagnética;6;2;82.06
86.65;Sistemas Embebidos;6;2;86.07
86.66;Laboratorio de Microelectrónica;6;2;86.46
86.67;Comunicaciones Radioeléctricas y Radioenlaces;6;2;86.29
86.68;Control no Lineal;6;2;86.16
95.02;Algoritmos y Programación III;6;2;95.12
95.03;Sistemas Operativos;6;2;86.07-95.02
95.05;Base de Datos;6;2;86.07-95.02
95.06;Teoría de Algoritmos I;6;2;95.12
95.07;Teoría de Lenguajes de Programación;4;2;95.12
95.08;Taller de Programación;4;2;95.12
95.09;Técnicas de Programación Concurrente I;6;2;95.03
95.12;Algoritmos y Programación II;6;2;95.11
