codigo;nombre;creditos;carrera;correlativas
61.03;Análisis Matemático II;8;1;NULL
62.01;Física I;8;1;NULL
75.40;Algoritmos y Programación I;6;1;NULL
61.08;Álgebra II;8;1;NULL
62.03;Física II;8;1;61.03-62.01
75.41;Algoritmos y Programación II;6;1;75.40
61.09;Probabilidad y Estadística B;6;1;61.03-61.08
66.70;Estructura del Computador;6;1;62.03-75.41
75.07;Algoritmos y Programación III;6;1;75.41
75.12;Análisis Numérico I;6;1;61.03-61.08-75.41
75.08;Sistemas Operativos;6;1;66.70
75.06;Organización de Datos;6;1;61.08-75.41
75.42;Taller de Programación I;4;1;66.70-75.41
71.14;Modelos y Optimización I;6;1;62.03-61.08-75.41
75.52;Taller de Programación II;4;1;75.07-75.42
75.09;Análisis de la Información;6;1;75.07
75.10;Técnicas de Diseño;6;1;75.08-75.09
75.15;Base de Datos;6;1;75.06-75.09
75.43;Introducción a los Sistemas;6;1;75.08
75.44;Administración y Control de Proyectos Informáticos I;6;1;75.10
75.45;Taller de Desarrollo de Proyectos I;6;1;75.10
75.46;Administración y Control de Proyectos Informáticos II;6;1;75.44
75.47;Taller de Desarrollo de Proyectos II;6;1;75.44-75.45
71.40;Legislación y Ejercicio Profesional de la Ingeniería en Informática;4;1NULL
75.00;Tesis;12;1;NULL
75.99;Trabajo Profesional;6;1;NULL
75.59;Técnicas de Programación Concurrente I;6;1;75.08
75.74;Sistemas Distribuidos I;6;1;75.43-75.59
75.61;Taller de Programación III;6;1;75.74
75.65;Manufactura Integrada por Computadora (CIM) I;6;1;75.15-75.52
75.67;Sistemas Automáticos de Diagnóstico y Detección de Fallas I;6;1;75.15-75.52
75.66;Manufactura Integrada por Computadora (CIM) II;6;1;75.65
75.68;Sistemas de Soporte para Celdas de Producción Flexibles;4;1;75.65-75.67
61.07;Matemática Discreta;6;1;NULL;
61.10;Análisis Matemático III A;6;1;61.03-61.08;
61.18;Ecuaciones Diferenciales Ordinarias;6;1;61.03-61.08
61.19;Análisis Funcional;6;1;61.10
62.11;Mecánica Racional;4;1;61.10-62.01
62.15;Física III D;4;1;61.08-62.03
63.01;Química;6;1;NULL
64.05;Estática y Resistencia de Materiales B;6;1;61.03-61.08
66.06;Análisis de Circuitos;10;1;61.10-62.03
66.08;Circuitos Electrónicos I;8;1;62.15-66.02-66.06
66.09;Laboratorio de Microcomputadoras;6;1;66.02-66.70
66.02;Laboratorio;6;1;62.03
66.17;Sistemas Digitales;6;1;66.70
66.18;Teoría de Control I;6;1;66.74
66.19;Circuitos de Pulsos;6;1;66.08-66.70
66.20;Organización de Computadoras;6;1;66.70
66.24;Teoría de la Información y Codificación;4;1;66.74-66.75-66.7
66.26;Arquitecturas Paralelas;6;1;66.20
66.32;Robótica;6;1;62.11-66.18
66.35;Técnica Digital Avanzada;6;1;61.07-66.17
66.46;Procesamiento del Habla;6;1;66.74
66.47;Procesamiento de Imágenes;6;1;61.09-66.74
66.49;Sistemas Biológicos;6;1;66.74-63.01
66.55;Simulación de Sistemas de Control;4;1;66.18
66.63;Redes Neuronales;6;1;66.74-66.75
66.69;Criptografía y Seguridad Informática;6;1;75.43
66.71;Sistemas Gráficos;6;1;75.41-61.03-61.08
66.74;Señales y Sistemas;6;1;61.09-66.06
66.75;Procesos Estocásticos;6;1;61.03-61.09
67.61;Fundamentos Matemáticos de la Visión en Robótica;6;1;61.08-75.07
71.12;Estructura de las Organizaciones;6;1;NULL
71.13;Información en las Organizaciones;6;1;71.12
71.15;Modelos y Optimización II;6;1;61.09-71.14
71.18;Estructura Económica Argentina;4;1;NULL
71.20;Modelos y Optimización III;6;1;71.15
71.41;Análisis y Resolución de Problemas;6;1;71.15
71.42;Circuitos de Información en la Empresa;4;1;71.46
71.44;Recursos Humanos;4;1;NULL
71.46;Ingeniería Económica;6;1;NULL
72.01;Materiales Industriales I;6;1;63.01-64.05
75.14;Lenguajes Formales;6;1;61.09
75.16;Lenguajes de Programación;6;1;75.14
75.26;Simulación;6;1;61.09
75.29;Teoría de Algoritmos I;6;1;75.41
75.30;Teoría de Algoritmos II;6;1;75.29
75.31;Teoría de Lenguaje;4;1;75.41
75.38;Análisis Numérico II A;6;1;75.52
75.48;Calidad en Desarrollo de Sistemas;4;1;75.45
75.50;Introducción a los Sistemas Inteligentes;6;1;61.09-71.14
75.51;Técnicas de Producción de Software I;4;1;75.15-75.52
75.53;Técnicas de Producción de Software II;4;1;75.51
75.54;Técnicas de Producción de Software III;4;1;75.48-75.53
75.55;Taller de Desarrollo de Proyectos III;4;1;75.46-75.47-75.48
75.56;Organización de la Implantación y el Mantenimiento;6;1;75.46-75.48
75.57;Modelos de Proceso de Desarrollo;4;1;75.46-75.48
75.58;Evaluación de Proyectos y Manejo de Riesgos;4;1;75.46-75.48
75.62;Técnicas de Programación Concurrente II;4;1;75.59
75.63;Sistemas Distribuidos II;4;1;75.74
75.64;Sistemas Multimediales;4;1;66.74-75.74
75.69;Sistemas Automáticos de Diagnóstico y Detección de Fallas II;6;1;75.67
75.70;Sistemas de Programación no convencional de Robots;6;1;75.50
75.71;Seminario de Ingeniería en Informática I;3;1;75.07
75.72;Seminario de Ingeniería en Informática II;3;1;75.06-75.44
75.73;Arquitectura de Software;4;1;75.07-75.09
78.01;Idioma Inglés;4;1;NULL
78.02;Idioma Alemán;4;1;NULL
78.03;Idioma Francés;4;1;NULL
78.04;Idioma Italiano;4;1;NULL
78.05;Idioma Portugués;4;1;NULL
